Entity,Relation,Entity,Weight
normalized_median between 0.9933362595496638 and 2, normalized_median, histogram, 498
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, scatter, 8349
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, line, 17447
range between 34.0001273493613 and 164.9013685854019, range, heatmap, 192
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, scatter, 14442
is_sorted_True, is_sorted, box, 2853
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, scatter, 10813
percent_outliers_15iqr between 0.7048739443479046 and 0.9085796858033826, percent_outliers_15iqr, bar, 11927
time, data_type, heatmap, 24
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, histogram, 283
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, histogram, 1751
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, scatter, 12002
var between 2.5077526515815407e-05 and 1.6052005600929224, var, scatter, 7599
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, box, 1442
is_sorted_True, is_sorted, line, 33767
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, box, 1431
var between 8941665.196451588 and 110410814.59999862, var, bar, 6315
skewness between 3.101168877463187 and 4.461349153518679, skewness, histogram, 1300
mean between 8262.562250976542 and 26053.242773437632, mean, scatter, 7957
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, histogram, 890
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, line, 8774
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, heatmap, 90
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, histogram, 513
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, bar, 4870
skewness between -0.393793818426709 and -0.008621457328779548, skewness, line, 9251
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, heatmap, 102
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, box, 2683
hasoutliers_3std, has_outliers, heatmap, 170
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, scatter, 23165
ninth-order moment between -8.465492734351432e-15 and 0.8167481387046068, ninth-order moment, bar, 2165
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, box, 2219
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, histogram, 427
isnormal_1, is_normal, box, 5613
integer, data_type, heatmap, 346
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, heatmap, 117
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, line, 14069
space, symbol_in_name, heatmap, 129
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, line, 7217
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, histogram, 37
gini between 0.381471216414244 and 0.5444116135758735, gini, histogram, 587
isnormal_1, is_normal, line, 34143
range between 164.9013685854019 and 27356.06338867178, range, scatter, 11760
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, histogram, 607
time, symbol_in_name, histogram, 10
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, scatter, 8718
